S.No,City,State,Alias,,,,
620,Palasa Kasibugga,Andhra Pradesh,,,,,
621,Nohar,Rajasthan,,,,,
622,Yevla,Maharashtra,,,,,
623,Sirhind Fatehgarh Sahib,Punjab,,,,,
624,Bhainsa,Telangana,,,,,
625,Parvathipuram,Andhra Pradesh,,,,,
626,Shahade,Maharashtra,,,,,
627,Chalakudy,Kerala,,,,,
628,Narkatiaganj,Bihar,,,,,
629,Kapadvanj,Gujarat,,,,,
630,Macherla,Andhra Pradesh,,,,,
631,Raghogarh-Vijaypur,Madhya Pradesh,,,,,
632,Rupnagar,Punjab,,,,,
633,Naugachhia,Bihar,,,,,
634,Sendhwa,Madhya Pradesh,,,,,
635,Byasanagar,Odisha,,,,,
636,Sandila,Uttar Pradesh,,,,,
637,Gooty,Andhra Pradesh,,,,,
638,Salur,Andhra Pradesh,,,,,
639,Nanpara,Uttar Pradesh,,,,,
640,Sardhana,Uttar Pradesh,,,,,
641,Vita,Maharashtra,,,,,
642,Gumia,Jharkhand,,,,,
643,Puttur,Karnataka,,,,,
644,Jalandhar Cantt.,Punjab,,,,,
645,Nehtaur,Uttar Pradesh,,,,,
646,Changanassery,Kerala,,,,,
647,Mandapeta,Andhra Pradesh,,,,,
648,Dumka,Jharkhand,,,,,
649,Seohara,Uttar Pradesh,,,,,
650,Umarkhed,Maharashtra,,,,,
651,Madhupur,Jharkhand,,,,,
652,Vikramasingapuram,Tamil Nadu,,,,,
653,Punalur,Kerala,,,,,
654,Kendrapara,Odisha,,,,,
655,Sihor,Gujarat,,,,,
656,Nellikuppam,Tamil Nadu,,,,,
657,Samana,Punjab,,,,,
658,Warora,Maharashtra,,,,,
659,Nilambur,Kerala,,,,,
660,Rasipuram,Tamil Nadu,,,,,
661,Ramnagar,Uttarakhand,,,,,
662,Jammalamadugu,Andhra Pradesh,,,,,
663,Nawanshahr,Punjab,,,,,
664,Thoubal,Manipur,,,,,
665,Athni,Karnataka,,,,,
666,Cherthala,Kerala,,,,,
667,Sidhi,Madhya Pradesh,,,,,
668,Farooqnagar,Telangana,,,,,
669,Peddapuram,Andhra Pradesh,,,,,
670,Chirkunda,Jharkhand,,,,,
671,Pachora,Maharashtra,,,,,
672,Madhepura,Bihar,,,,,
673,Pithoragarh,Uttarakhand,,,,,
674,Tumsar,Maharashtra,,,,,
675,Phalodi,Rajasthan,,,,,
676,Tiruttani,Tamil Nadu,,,,,
677,Rampura Phul,Punjab,,,,,
678,Perinthalmanna,Kerala,,,,,
679,Padrauna,Uttar Pradesh,,,,,
680,Pipariya,Madhya Pradesh,,,,,
681,Dalli-Rajhara,Chhattisgarh,,,,,
682,Punganur,Andhra Pradesh,,,,,
683,Mattannur,Kerala,,,,,
684,Mathura,Uttar Pradesh,,,,,
685,Thakurdwara,Uttar Pradesh,,,,,
686,Nandivaram-Guduvancheri,Tamil Nadu,,,,,
687,Mulbagal,Karnataka,,,,,
688,Manjlegaon,Maharashtra,,,,,
689,Wankaner,Gujarat,,,,,
690,Sillod,Maharashtra,,,,,
691,Nidadavole,Andhra Pradesh,,,,,
692,Surapura,Karnataka,,,,,
693,Rajagangapur,Odisha,,,,,
694,Sheikhpura,Bihar,,,,,
695,Parlakhemundi,Odisha,,,,,
696,Kalimpong,West Bengal,,,,,
697,Siruguppa,Karnataka,,,,,
698,Arvi,Maharashtra,,,,,
699,Limbdi,Gujarat,,,,,
700,Barpeta,Assam,,,,,
701,Manglaur,Uttarakhand,,,,,
702,Repalle,Andhra Pradesh,,,,,
703,Mudhol,Karnataka,,,,,
704,Shujalpur,Madhya Pradesh,,,,,
705,Mandvi,Gujarat,,,,,
706,Thangadh,Gujarat,,,,,
707,Sironj,Madhya Pradesh,,,,,
708,Nandura,Maharashtra,,,,,
709,Shoranur,Kerala,,,,,
710,Nathdwara,Rajasthan,,,,,
711,Periyakulam,Tamil Nadu,,,,,
712,Sultanganj,Bihar,,,,,
713,Medak,Telangana,,,,,
714,Narayanpet,Telangana,,,,,
715,Raxaul Bazar,Bihar,,,,,
716,Rajauri,Jammu and Kashmir,,,,,
717,Pernampattu,Tamil Nadu,,,,,
718,Nainital,Uttarakhand,,,,,
719,Ramachandrapuram,Andhra Pradesh,,,,,
720,Vaijapur,Maharashtra,,,,,
721,Nangal,Punjab,,,,,
722,Sidlaghatta,Karnataka,,,,,
723,Punch,Jammu and Kashmir,,,,,
724,Pandhurna,Madhya Pradesh,,,,,
725,Wadgaon Road,Maharashtra,,,,,
726,Talcher,Odisha,,,,,
727,Varkala,Kerala,,,,,
728,Pilani,Rajasthan,,,,,
729,Nowgong,Madhya Pradesh,,,,,
730,Naila Janjgir,Chhattisgarh,,,,,
731,Mapusa,Goa,,,,,
732,Vellakoil,Tamil Nadu,,,,,
733,Merta City,Rajasthan,,,,,
734,Sivaganga,Tamil Nadu,,,,,
735,Mandideep,Madhya Pradesh,,,,,
736,Sailu,Maharashtra,,,,,
737,Vyara,Gujarat,,,,,
738,Kovvur,Andhra Pradesh,,,,,
739,Vadalur,Tamil Nadu,,,,,
740,Nawabganj,Uttar Pradesh,,,,,
741,Padra,Gujarat,,,,,
742,Sainthia,West Bengal,,,,,
743,Siana,Uttar Pradesh,,,,,
744,Shahpur,Karnataka,,,,,
745,Sojat,Rajasthan,,,,,
746,Noorpur,Uttar Pradesh,,,,,
747,Paravoor,Kerala,,,,,
748,Murtijapur,Maharashtra,,,,,
749,Ramnagar,Bihar,,,,,
750,Sundargarh,Odisha,,,,,
751,Taki,West Bengal,,,,,
752,Saundatti-Yellamma,Karnataka,,,,,
753,Pathanamthitta,Kerala,,,,,
754,Wadi,Karnataka,,,,,
755,Rameshwaram,Tamil Nadu,,,,,
756,Tasgaon,Maharashtra,,,,,
757,Sikandra Rao,Uttar Pradesh,,,,,
758,Sihora,Madhya Pradesh,,,,,
759,Tiruvethipuram,Tamil Nadu,,,,,
760,Tiruvuru,Andhra Pradesh,,,,,
761,Mehkar,Maharashtra,,,,,
762,Peringathur,Kerala,,,,,
763,Perambalur,Tamil Nadu,,,,,
764,Manvi,Karnataka,,,,,
765,Zunheboto,Nagaland,,,,,
766,Mahnar Bazar,Bihar,,,,,
767,Attingal,Kerala,,,,,
768,Shahbad,Haryana,,,,,
769,Puranpur,Uttar Pradesh,,,,,
770,Nelamangala,Karnataka,,,,,
771,Nakodar,Punjab,,,,,
772,Lunawada,Gujarat,,,,,
773,Murshidabad,West Bengal,,,,,
774,Mahe,Puducherry,,,,,
775,Lanka,Assam,,,,,
776,Rudauli,Uttar Pradesh,,,,,
777,Tuensang,Nagaland,,,,,
778,Lakshmeshwar,Karnataka,,,,,
779,Zira,Punjab,,,,,
780,Yawal,Maharashtra,,,,,
781,Thana Bhawan,Uttar Pradesh,,,,,
782,Ramdurg,Karnataka,,,,,
783,Pulgaon,Maharashtra,,,,,
784,Sadasivpet,Telangana,,,,,
785,Nargund,Karnataka,,,,,
786,Neem-Ka-Thana,Rajasthan,,,,,
787,Memari,West Bengal,,,,,
788,Nilanga,Maharashtra,,,,,
789,Naharlagun,Arunachal Pradesh,,,,,
790,Pakaur,Jharkhand,,,,,
791,Wai,Maharashtra,,,,,
792,Tarikere,Karnataka,,,,,
793,Malavalli,Karnataka,,,,,
794,Raisen,Madhya Pradesh,,,,,
795,Lahar,Madhya Pradesh,,,,,
796,Uravakonda,Andhra Pradesh,,,,,
797,Savanur,Karnataka,,,,,
798,Sirohi,Rajasthan,,,,,
799,Udhampur,Jammu and Kashmir,,,,,
800,Umarga,Maharashtra,,,,,
801,Pratapgarh,Rajasthan,,,,,
802,Lingsugur,Karnataka,,,,,
803,Usilampatti,Tamil Nadu,,,,,
804,Palia Kalan,Uttar Pradesh,,,,,
805,Wokha,Nagaland,,,,,
806,Rajpipla,Gujarat,,,,,
807,Vijayapura,Karnataka,,,,,
808,Rawatbhata,Rajasthan,,,,,
809,Sangaria,Rajasthan,,,,,
810,Paithan,Maharashtra,,,,,
811,Rahuri,Maharashtra,,,,,
812,Patti,Punjab,,,,,
813,Zaidpur,Uttar Pradesh,,,,,
814,Lalsot,Rajasthan,,,,,
815,Maihar,Madhya Pradesh,,,,,
816,Vedaranyam,Tamil Nadu,,,,,
817,Nawapur,Maharashtra,,,,,
818,Solan,Himachal Pradesh,,,,,
819,Vapi,Gujarat,,,,,
820,Sanawad,Madhya Pradesh,,,,,
821,Warisaliganj,Bihar,,,,,
822,Revelganj,Bihar,,,,,
823,Sabalgarh,Madhya Pradesh,,,,,
824,Tuljapur,Maharashtra,,,,,
825,Simdega,Jharkhand,,,,,
826,Musabani,Jharkhand,,,,,
827,Kodungallur,Kerala,,,,,
828,Phulabani,Odisha,,,,,
829,Umreth,Gujarat,,,,,
830,Narsipatnam,Andhra Pradesh,,,,,
831,Nautanwa,Uttar Pradesh,,,,,
832,Rajgir,Bihar,,,,,
833,Yellandu,Telangana,,,,,
834,Sathyamangalam,Tamil Nadu,,,,,
835,Pilibanga,Rajasthan,,,,,
836,Morshi,Maharashtra,,,,,
837,Pehowa,Haryana,,,,,
838,Sonepur,Bihar,,,,,
839,Pappinisseri,Kerala,,,,,
840,Zamania,Uttar Pradesh,,,,,
841,Mihijam,Jharkhand,,,,,
842,Purna,Maharashtra,,,,,
843,Puliyankudi,Tamil Nadu,,,,,
844,"Shikarpur, Bulandshahr",Uttar Pradesh,,,,,
845,Umaria,Madhya Pradesh,,,,,
846,Porsa,Madhya Pradesh,,,,,
847,Naugawan Sadat,Uttar Pradesh,,,,,
848,Fatehpur Sikri,Uttar Pradesh,,,,,
849,Manuguru,Telangana,,,,,
850,Udaipur,Tripura,,,,,
851,Pipar City,Rajasthan,,,,,
852,Pattamundai,Odisha,,,,,
853,Nanjikottai,Tamil Nadu,,,,,
854,Taranagar,Rajasthan,,,,,
855,Yerraguntla,Andhra Pradesh,,,,,
856,Satana,Maharashtra,,,,,
857,Sherghati,Bihar,,,,,
858,Sankeshwara,Karnataka,,,,,
859,Madikeri,Karnataka,,,,,
860,Thuraiyur,Tamil Nadu,,,,,
861,Sanand,Gujarat,,,,,
862,Rajula,Gujarat,,,,,
863,Kyathampalle,Telangana,,,,,
864,"Shahabad, Rampur",Uttar Pradesh,,,,,
865,Tilda Newra,Chhattisgarh,,,,,
866,Narsinghgarh,Madhya Pradesh,,,,,
867,Chittur-Thathamangalam,Kerala,,,,,
868,Malaj Khand,Madhya Pradesh,,,,,
869,Sarangpur,Madhya Pradesh,,,,,
870,Robertsganj,Uttar Pradesh,,,,,
871,Sirkali,Tamil Nadu,,,,,
872,Radhanpur,Gujarat,,,,,
873,Tiruchendur,Tamil Nadu,,,,,
874,Utraula,Uttar Pradesh,,,,,
875,Patratu,Jharkhand,,,,,
876,"Vijainagar, Ajmer",Rajasthan,,,,,
877,Periyasemur,Tamil Nadu,,,,,
878,Pathri,Maharashtra,,,,,
879,Sadabad,Uttar Pradesh,,,,,
880,Talikota,Karnataka,,,,,
881,Sinnar,Maharashtra,,,,,
882,Mungeli,Chhattisgarh,,,,,
883,Sedam,Karnataka,,,,,
884,Shikaripur,Karnataka,,,,,
885,Sumerpur,Rajasthan,,,,,
886,Sattur,Tamil Nadu,,,,,
887,Sugauli,Bihar,,,,,
888,Lumding,Assam,,,,,
889,Vandavasi,Tamil Nadu,,,,,
890,Titlagarh,Odisha,,,,,
891,Uchgaon,Maharashtra,,,,,
892,Mokokchung,Nagaland,,,,,
893,Paschim Punropara,West Bengal,,,,,
894,Sagwara,Rajasthan,,,,,
895,Ramganj Mandi,Rajasthan,,,,,
896,Tarakeswar,West Bengal,,,,,
897,Mahalingapura,Karnataka,,,,,
898,Dharmanagar,Tripura,,,,,
899,Mahemdabad,Gujarat,,,,,
900,Manendragarh,Chhattisgarh,,,,,
901,Uran,Maharashtra,,,,,
902,Tharamangalam,Tamil Nadu,,,,,
903,Tirukkoyilur,Tamil Nadu,,,,,
904,Pen,Maharashtra,,,,,
905,Makhdumpur,Bihar,,,,,
906,Maner,Bihar,,,,,
907,Oddanchatram,Tamil Nadu,,,,,
908,Palladam,Tamil Nadu,,,,,
909,Mundi,Madhya Pradesh,,,,,
910,Nabarangapur,Odisha,,,,,
911,Mudalagi,Karnataka,,,,,
912,Samalkha,Haryana,,,,,
913,Nepanagar,Madhya Pradesh,,,,,
914,Karjat,Maharashtra,,,,,
915,Ranavav,Gujarat,,,,,
916,Pedana,Andhra Pradesh,,,,,
917,Pinjore,Haryana,,,,,
918,Lakheri,Rajasthan,,,,,
919,Pasan,Madhya Pradesh,,,,,
920,Puttur,Andhra Pradesh,,,,,
921,Vadakkuvalliyur,Tamil Nadu,,,,,
922,Tirukalukundram,Tamil Nadu,,,,,
923,Mahidpur,Madhya Pradesh,,,,,
924,Mussoorie,Uttarakhand,,,,,
925,Muvattupuzha,Kerala,,,,,
926,Rasra,Uttar Pradesh,,,,,
927,Udaipurwati,Rajasthan,,,,,
928,Manwath,Maharashtra,,,,,
929,Adoor,Kerala,,,,,
930,Uthamapalayam,Tamil Nadu,,,,,
931,Partur,Maharashtra,,,,,
932,Nahan,Himachal Pradesh,,,,,
933,Ladwa,Haryana,,,,,
934,Mankachar,Assam,,,,,
935,Nongstoin,Meghalaya,,,,,
936,Losal,Rajasthan,,,,,
937,Sri Madhopur,Rajasthan,,,,,
938,Ramngarh,Rajasthan,,,,,
939,Mavelikkara,Kerala,,,,,
940,Rawatsar,Rajasthan,,,,,
941,Rajakhera,Rajasthan,,,,,
942,Lar,Uttar Pradesh,,,,,
943,Lal Gopalganj Nindaura,Uttar Pradesh,,,,,
944,Muddebihal,Karnataka,,,,,
945,Sirsaganj,Uttar Pradesh,,,,,
946,Shahpura,Rajasthan,,,,,
947,Surandai,Tamil Nadu,,,,,
948,Sangole,Maharashtra,,,,,
949,Pavagada,Karnataka,,,,,
950,Tharad,Gujarat,,,,,
951,Mansa,Gujarat,,,,,
952,Umbergaon,Gujarat,,,,,
953,Mavoor,Kerala,,,,,
954,Nalbari,Assam,,,,,
955,Talaja,Gujarat,,,,,
956,Malur,Karnataka,,,,,
957,Mangrulpir,Maharashtra,,,,,
958,Soro,Odisha,,,,,
959,Shahpura,Rajasthan,,,,,
960,Vadnagar,Gujarat,,,,,
961,Raisinghnagar,Rajasthan,,,,,
962,Sindhagi,Karnataka,,,,,
963,Sanduru,Karnataka,,,,,
964,Sohna,Haryana,,,,,
965,Manavadar,Gujarat,,,,,
966,Pihani,Uttar Pradesh,,,,,
967,Safidon,Haryana,,,,,
968,Risod,Maharashtra,,,,,
969,Rosera,Bihar,,,,,
970,Sankari,Tamil Nadu,,,,,
971,Malpura,Rajasthan,,,,,
972,Sonamukhi,West Bengal,,,,,
973,"Shamsabad, Agra",Uttar Pradesh,,,,,
974,Nokha,Bihar,,,,,
975,PandUrban Agglomeration,West Bengal,,,,,
976,Mainaguri,West Bengal,,,,,
977,Afzalpur,Karnataka,,,,,
978,Shirur,Maharashtra,,,,,
979,Salaya,Gujarat,,,,,
980,Shenkottai,Tamil Nadu,,,,,
981,Pratapgarh,Tripura,,,,,
982,Vadipatti,Tamil Nadu,,,,,
983,Nagarkurnool,Telangana,,,,,
984,Savner,Maharashtra,,,,,
985,Sasvad,Maharashtra,,,,,
986,Rudrapur,Uttar Pradesh,,,,,
987,Soron,Uttar Pradesh,,,,,
988,Sholingur,Tamil Nadu,,,,,
989,Pandharkaoda,Maharashtra,,,,,
990,Perumbavoor,Kerala,,,,,
991,Maddur,Karnataka,,,,,
992,Nadbai,Rajasthan,,,,,
993,Talode,Maharashtra,,,,,
994,Shrigonda,Maharashtra,,,,,
995,Madhugiri,Karnataka,,,,,
996,Tekkalakote,Karnataka,,,,,
997,Seoni-Malwa,Madhya Pradesh,,,,,
998,Shirdi,Maharashtra,,,,,
999,SUrban Agglomerationr,Uttar Pradesh,,,,,
1000,Terdal,Karnataka,,,,,
1001,Raver,Maharashtra,,,,,
1002,Tirupathur,Tamil Nadu,,,,,
1003,Taraori,Haryana,,,,,
1004,Mukhed,Maharashtra,,,,,
1005,Manachanallur,Tamil Nadu,,,,,
1006,Rehli,Madhya Pradesh,,,,,
1007,Sanchore,Rajasthan,,,,,
1008,Rajura,Maharashtra,,,,,
1009,Piro,Bihar,,,,,
1010,Mudabidri,Karnataka,,,,,
1011,Vadgaon Kasba,Maharashtra,,,,,
1012,Nagar,Rajasthan,,,,,
1013,Vijapur,Gujarat,,,,,
1014,Viswanatham,Tamil Nadu,,,,,
1015,Polur,Tamil Nadu,,,,,
1016,Panagudi,Tamil Nadu,,,,,
1017,Manawar,Madhya Pradesh,,,,,
1018,Tehri,Uttarakhand,,,,,
1019,Samdhan,Uttar Pradesh,,,,,
1020,Pardi,Gujarat,,,,,
1021,Rahatgarh,Madhya Pradesh,,,,,
1022,Panagar,Madhya Pradesh,,,,,
1023,Uthiramerur,Tamil Nadu,,,,,
1024,Tirora,Maharashtra,,,,,
1025,Rangia,Assam,,,,,
1026,Sahjanwa,Uttar Pradesh,,,,,
1027,Wara Seoni,Madhya Pradesh,,,,,
1028,Magadi,Karnataka,,,,,
1029,Rajgarh (Alwar),Rajasthan,,,,,
1030,Rafiganj,Bihar,,,,,
1031,Tarana,Madhya Pradesh,,,,,
1032,Rampur Maniharan,Uttar Pradesh,,,,,
1033,Sheoganj,Rajasthan,,,,,
1034,Raikot,Punjab,,,,,
1035,Pauri,Uttarakhand,,,,,
1036,Sumerpur,Uttar Pradesh,,,,,
1037,Navalgund,Karnataka,,,,,
1038,Shahganj,Uttar Pradesh,,,,,
1039,Marhaura,Bihar,,,,,
1040,Tulsipur,Uttar Pradesh,,,,,
1041,Sadri,Rajasthan,,,,,
1042,Thiruthuraipoondi,Tamil Nadu,,,,,
1043,Shiggaon,Karnataka,,,,,
1044,Pallapatti,Tamil Nadu,,,,,
1045,Mahendragarh,Haryana,,,,,
1046,Sausar,Madhya Pradesh,,,,,
1047,Ponneri,Tamil Nadu,,,,,
1048,Mahad,Maharashtra,,,,,
1049,Lohardaga,Jharkhand,,,,,
1050,Tirwaganj,Uttar Pradesh,,,,,
1051,Margherita,Assam,,,,,
1052,Sundarnagar,Himachal Pradesh,,,,,
1053,Rajgarh,Madhya Pradesh,,,,,
1054,Mangaldoi,Assam,,,,,
1055,Renigunta,Andhra Pradesh,,,,,
1056,Longowal,Punjab,,,,,
1057,Ratia,Haryana,,,,,
1058,Lalgudi,Tamil Nadu,,,,,
1059,Shrirangapattana,Karnataka,,,,,
1060,Niwari,Madhya Pradesh,,,,,
1061,Natham,Tamil Nadu,,,,,
1062,Unnamalaikadai,Tamil Nadu,,,,,
1063,PurqUrban Agglomerationzi,Uttar Pradesh,,,,,
1064,"Shamsabad, Farrukhabad",Uttar Pradesh,,,,,
1065,Mirganj,Bihar,,,,,
1066,Todaraisingh,Rajasthan,,,,,
1067,Warhapur,Uttar Pradesh,,,,,
1068,Rajam,Andhra Pradesh,,,,,
1069,Urmar Tanda,Punjab,,,,,
1070,Lonar,Maharashtra,,,,,
1071,Powayan,Uttar Pradesh,,,,,
1072,P.N.Patti,Tamil Nadu,,,,,
1073,Palampur,Himachal Pradesh,,,,,
1074,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,,,,,
1075,Sindagi,Karnataka,,,,,
1076,Sandi,Uttar Pradesh,,,,,
1077,Vaikom,Kerala,,,,,
1078,Malda,West Bengal,,,,,
1079,Tharangambadi,Tamil Nadu,,,,,
1080,Sakaleshapura,Karnataka,,,,,
1081,Lalganj,Bihar,,,,,
1082,Malkangiri,Odisha,,,,,
1083,Rapar,Gujarat,,,,,
1084,Mauganj,Madhya Pradesh,,,,,
1085,Todabhim,Rajasthan,,,,,
1086,Srinivaspur,Karnataka,,,,,
1087,Murliganj,Bihar,,,,,
1088,Reengus,Rajasthan,,,,,
1089,Sawantwadi,Maharashtra,,,,,
1090,Tittakudi,Tamil Nadu,,,,,
1091,Lilong,Manipur,,,,,
1092,Rajaldesar,Rajasthan,,,,,
1093,Pathardi,Maharashtra,,,,,
1094,Achhnera,Uttar Pradesh,,,,,
1095,Pacode,Tamil Nadu,,,,,
1096,Naraura,Uttar Pradesh,,,,,
1097,Nakur,Uttar Pradesh,,,,,
1098,Palai,Kerala,,,,,
1099,"Morinda, India",Punjab,,,,,
1100,Manasa,Madhya Pradesh,,,,,
1101,Nainpur,Madhya Pradesh,,,,,
1102,Sahaspur,Uttar Pradesh,,,,,
1103,Pauni,Maharashtra,,,,,
1104,Prithvipur,Madhya Pradesh,,,,,
1105,Ramtek,Maharashtra,,,,,
1106,Silapathar,Assam,,,,,
1107,Songadh,Gujarat,,,,,
1108,Safipur,Uttar Pradesh,,,,,
1109,Sohagpur,Madhya Pradesh,,,,,
1110,Mul,Maharashtra,,,,,
1111,Sadulshahar,Rajasthan,,,,,
1112,Phillaur,Punjab,,,,,
1113,Sambhar,Rajasthan,,,,,
1114,Prantij,Rajasthan,,,,,
1115,Nagla,Uttarakhand,,,,,
1116,Pattran,Punjab,,,,,
1117,Mount Abu,Rajasthan,,,,,
1118,Reoti,Uttar Pradesh,,,,,
1119,Tenu dam-cum-Kathhara,Jharkhand,,,,,
1120,Panchla,West Bengal,,,,,
1121,Sitarganj,Uttarakhand,,,,,
1122,Pasighat,Arunachal Pradesh,,,,,
1123,Motipur,Bihar,,,,,
1124,O' Valley,Tamil Nadu,,,,,
1125,Raghunathpur,West Bengal,,,,,
1126,Suriyampalayam,Tamil Nadu,,,,,
1127,Qadian,Punjab,,,,,
1128,Rairangpur,Odisha,,,,,
1129,Silvassa,Dadra and Nagar Haveli,,,,,
1130,Nowrozabad (Khodargama),Madhya Pradesh,,,,,
1131,Mangrol,Rajasthan,,,,,
1132,Soyagaon,Maharashtra,,,,,
1133,Sujanpur,Punjab,,,,,
1134,Manihari,Bihar,,,,,
1135,Sikanderpur,Uttar Pradesh,,,,,
1136,Mangalvedhe,Maharashtra,,,,,
1137,Phulera,Rajasthan,,,,,
1138,Ron,Karnataka,,,,,
1139,Sholavandan,Tamil Nadu,,,,,
1140,Saidpur,Uttar Pradesh,,,,,
1141,Shamgarh,Madhya Pradesh,,,,,
1142,Thammampatti,Tamil Nadu,,,,,
1143,Maharajpur,Madhya Pradesh,,,,,
1144,Multai,Madhya Pradesh,,,,,
1145,Mukerian,Punjab,,,,,
1146,Sirsi,Uttar Pradesh,,,,,
1147,Purwa,Uttar Pradesh,,,,,
1148,Sheohar,Bihar,,,,,
1149,Namagiripettai,Tamil Nadu,,,,,
1150,Parasi,Uttar Pradesh,,,,,
1151,Lathi,Gujarat,,,,,
1152,Lalganj,Uttar Pradesh,,,,,
1153,Narkhed,Maharashtra,,,,,
1154,Mathabhanga,West Bengal,,,,,
1155,Shendurjana,Maharashtra,,,,,
1156,Peravurani,Tamil Nadu,,,,,
1157,Mariani,Assam,,,,,
1158,Phulpur,Uttar Pradesh,,,,,
1159,Rania,Haryana,,,,,
1160,Pali,Madhya Pradesh,,,,,
1161,Pachore,Madhya Pradesh,,,,,
1162,Parangipettai,Tamil Nadu,,,,,
1163,Pudupattinam,Tamil Nadu,,,,,
1164,Panniyannur,Kerala,,,,,
1165,Maharajganj,Bihar,,,,,
1166,Rau,Madhya Pradesh,,,,,
1167,Monoharpur,West Bengal,,,,,
1168,Mandawa,Rajasthan,,,,,
1169,Marigaon,Assam,,,,,
1170,Pallikonda,Tamil Nadu,,,,,
1171,Pindwara,Rajasthan,,,,,
1172,Shishgarh,Uttar Pradesh,,,,,
1173,Patur,Maharashtra,,,,,
1174,Mayang Imphal,Manipur,,,,,
1175,Mhowgaon,Madhya Pradesh,,,,,
1176,Guruvayoor,Kerala,,,,,
1177,Mhaswad,Maharashtra,,,,,
1178,Sahawar,Uttar Pradesh,,,,,
1179,Sivagiri,Tamil Nadu,,,,,
1180,Mundargi,Karnataka,,,,,
1181,Punjaipugalur,Tamil Nadu,,,,,
1182,Kailasahar,Tripura,,,,,
1183,Samthar,Uttar Pradesh,,,,,
1184,Sakti,Chhattisgarh,,,,,
1185,Sadalagi,Karnataka,,,,,
1186,Silao,Bihar,,,,,
1187,Mandalgarh,Rajasthan,,,,,
1188,Loha,Maharashtra,,,,,
1189,Pukhrayan,Uttar Pradesh,,,,,
1190,Padmanabhapuram,Tamil Nadu,,,,,
1191,Belonia,Tripura,,,,,
1192,Saiha,Mizoram,,,,,
1193,Srirampore,West Bengal,,,,,
1194,Talwara,Punjab,,,,,
1195,Puthuppally,Kerala,,,,,
1196,Khowai,Tripura,,,,,
1197,Vijaypur,Madhya Pradesh,,,,,
1198,Takhatgarh,Rajasthan,,,,,
1199,Thirupuvanam,Tamil Nadu,,,,,
1200,Adra,West Bengal,,,,,
1201,Piriyapatna,Karnataka,,,,,
1202,Obra,Uttar Pradesh,,,,,
1203,Adalaj,Gujarat,,,,,
1204,Nandgaon,Maharashtra,,,,,
1205,Barh,Bihar,,,,,
1206,Chhapra,Gujarat,,,,,
1207,Panamattom,Kerala,,,,,
1208,Niwai,Uttar Pradesh,,,,,
1209,Bageshwar,Uttarakhand,,,,,
1210,Tarbha,Odisha,,,,,
1211,Adyar,Karnataka,,,,,
1212,Narsinghgarh,Madhya Pradesh,,,,,
1213,Warud,Maharashtra,,,,,
1214,Asarganj,Bihar,,,,,
1215,Sarsod,Haryana,,,,,
,,,,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,,,,